"date","DriversKilled","drivers"
"1969-01-01",107,1687
"1969-01-02",106.666666666667,1681.03333333333
"1969-01-03",106.333333333333,1675.06666666667
"1969-01-04",106,1669.1
"1969-01-05",105.666666666667,1663.13333333333
"1969-01-06",105.333333333333,1657.16666666667
"1969-01-07",105,1651.2
"1969-01-08",104.666666666667,1645.23333333333
"1969-01-09",104.333333333333,1639.26666666667
"1969-01-10",104,1633.3
"1969-01-11",103.666666666667,1627.33333333333
"1969-01-12",103.333333333333,1621.36666666667
"1969-01-13",103,1615.4
"1969-01-14",102.666666666667,1609.43333333333
"1969-01-15",102.333333333333,1603.46666666667
"1969-01-16",102,1597.5
"1969-01-17",101.666666666667,1591.53333333333
"1969-01-18",101.333333333333,1585.56666666667
"1969-01-19",101,1579.6
"1969-01-20",100.666666666667,1573.63333333333
"1969-01-21",100.333333333333,1567.66666666667
"1969-01-22",100,1561.7
"1969-01-23",99.6666666666667,1555.73333333333
"1969-01-24",99.3333333333333,1549.76666666667
"1969-01-25",99,1543.8
"1969-01-26",98.6666666666667,1537.83333333333
"1969-01-27",98.3333333333333,1531.86666666667
"1969-01-28",98,1525.9
"1969-01-29",97.6666666666667,1519.93333333333
"1969-01-30",97.3333333333333,1513.96666666667
"1969-01-31",97,1508
"1969-02-01",97.1666666666667,1507.96666666667
"1969-02-02",97.3333333333333,1507.93333333333
"1969-02-03",97.5,1507.9
"1969-02-04",97.6666666666667,1507.86666666667
"1969-02-05",97.8333333333333,1507.83333333333
"1969-02-06",98,1507.8
"1969-02-07",98.1666666666667,1507.76666666667
"1969-02-08",98.3333333333333,1507.73333333333
"1969-02-09",98.5,1507.7
"1969-02-10",98.6666666666667,1507.66666666667
"1969-02-11",98.8333333333333,1507.63333333333
"1969-02-12",99,1507.6
"1969-02-13",99.1666666666667,1507.56666666667
"1969-02-14",99.3333333333333,1507.53333333333
"1969-02-15",99.5,1507.5
"1969-02-16",99.6666666666667,1507.46666666667
"1969-02-17",99.8333333333333,1507.43333333333
"1969-02-18",100,1507.4
"1969-02-19",100.166666666667,1507.36666666667
"1969-02-20",100.333333333333,1507.33333333333
"1969-02-21",100.5,1507.3
"1969-02-22",100.666666666667,1507.26666666667
"1969-02-23",100.833333333333,1507.23333333333
"1969-02-24",101,1507.2
"1969-02-25",101.166666666667,1507.16666666667
"1969-02-26",101.333333333333,1507.13333333333
"1969-02-27",101.5,1507.1
"1969-02-28",101.666666666667,1507.06666666667
"1969-03-01",101.833333333333,1507.03333333333
"1969-03-02",102,1507
"1969-03-03",101.516129032258,1503.06451612903
"1969-03-04",101.032258064516,1499.12903225806
"1969-03-05",100.548387096774,1495.1935483871
"1969-03-06",100.064516129032,1491.25806451613
"1969-03-07",99.5806451612903,1487.32258064516
"1969-03-08",99.0967741935484,1483.38709677419
"1969-03-09",98.6129032258064,1479.45161290323
"1969-03-10",98.1290322580645,1475.51612903226
"1969-03-11",97.6451612903226,1471.58064516129
"1969-03-12",97.1612903225806,1467.64516129032
"1969-03-13",96.6774193548387,1463.70967741935
"1969-03-14",96.1935483870968,1459.77419354839
"1969-03-15",95.7096774193548,1455.83870967742
"1969-03-16",95.2258064516129,1451.90322580645
"1969-03-17",94.741935483871,1447.96774193548
"1969-03-18",94.258064516129,1444.03225806452
"1969-03-19",93.7741935483871,1440.09677419355
"1969-03-20",93.2903225806452,1436.16129032258
"1969-03-21",92.8064516129032,1432.22580645161
"1969-03-22",92.3225806451613,1428.29032258065
"1969-03-23",91.8387096774194,1424.35483870968
"1969-03-24",91.3548387096774,1420.41935483871
"1969-03-25",90.8709677419355,1416.48387096774
"1969-03-26",90.3870967741936,1412.54838709677
"1969-03-27",89.9032258064516,1408.61290322581
"1969-03-28",89.4193548387097,1404.67741935484
"1969-03-29",88.9354838709677,1400.74193548387
"1969-03-30",88.4516129032258,1396.8064516129
"1969-03-31",87.9677419354839,1392.87096774194
"1969-04-01",87.4838709677419,1388.93548387097
"1969-04-02",87,1385
"1969-04-03",88.0666666666667,1393.23333333333
"1969-04-04",89.1333333333333,1401.46666666667
"1969-04-05",90.2,1409.7
"1969-04-06",91.2666666666667,1417.93333333333
"1969-04-07",92.3333333333333,1426.16666666667
"1969-04-08",93.4,1434.4
"1969-04-09",94.4666666666667,1442.63333333333
"1969-04-10",95.5333333333333,1450.86666666667
"1969-04-11",96.6,1459.1
"1969-04-12",97.6666666666667,1467.33333333333
"1969-04-13",98.7333333333333,1475.56666666667
"1969-04-14",99.8,1483.8
"1969-04-15",100.866666666667,1492.03333333333
"1969-04-16",101.933333333333,1500.26666666667
"1969-04-17",103,1508.5
"1969-04-18",104.066666666667,1516.73333333333
"1969-04-19",105.133333333333,1524.96666666667
"1969-04-20",106.2,1533.2
"1969-04-21",107.266666666667,1541.43333333333
"1969-04-22",108.333333333333,1549.66666666667
"1969-04-23",109.4,1557.9
"1969-04-24",110.466666666667,1566.13333333333
"1969-04-25",111.533333333333,1574.36666666667
"1969-04-26",112.6,1582.6
"1969-04-27",113.666666666667,1590.83333333333
"1969-04-28",114.733333333333,1599.06666666667
"1969-04-29",115.8,1607.3
"1969-04-30",116.866666666667,1615.53333333333
"1969-05-01",117.933333333333,1623.76666666667
"1969-05-02",119,1632
"1969-05-03",118.58064516129,1628.09677419355
"1969-05-04",118.161290322581,1624.1935483871
"1969-05-05",117.741935483871,1620.29032258065
"1969-05-06",117.322580645161,1616.38709677419
"1969-05-07",116.903225806452,1612.48387096774
"1969-05-08",116.483870967742,1608.58064516129
"1969-05-09",116.064516129032,1604.67741935484
"1969-05-10",115.645161290323,1600.77419354839
"1969-05-11",115.225806451613,1596.87096774194
"1969-05-12",114.806451612903,1592.96774193548
"1969-05-13",114.387096774194,1589.06451612903
"1969-05-14",113.967741935484,1585.16129032258
"1969-05-15",113.548387096774,1581.25806451613
"1969-05-16",113.129032258065,1577.35483870968
"1969-05-17",112.709677419355,1573.45161290323
"1969-05-18",112.290322580645,1569.54838709677
"1969-05-19",111.870967741935,1565.64516129032
"1969-05-20",111.451612903226,1561.74193548387
"1969-05-21",111.032258064516,1557.83870967742
"1969-05-22",110.612903225806,1553.93548387097
"1969-05-23",110.193548387097,1550.03225806452
"1969-05-24",109.774193548387,1546.12903225806
"1969-05-25",109.354838709677,1542.22580645161
"1969-05-26",108.935483870968,1538.32258064516
"1969-05-27",108.516129032258,1534.41935483871
"1969-05-28",108.096774193548,1530.51612903226
"1969-05-29",107.677419354839,1526.61290322581
"1969-05-30",107.258064516129,1522.70967741935
"1969-05-31",106.838709677419,1518.8064516129
"1969-06-01",106.41935483871,1514.90322580645
"1969-06-02",106,1511
"1969-06-03",106.133333333333,1512.6
"1969-06-04",106.266666666667,1514.2
"1969-06-05",106.4,1515.8
"1969-06-06",106.533333333333,1517.4
"1969-06-07",106.666666666667,1519
"1969-06-08",106.8,1520.6
"1969-06-09",106.933333333333,1522.2
"1969-06-10",107.066666666667,1523.8
"1969-06-11",107.2,1525.4
"1969-06-12",107.333333333333,1527
"1969-06-13",107.466666666667,1528.6
"1969-06-14",107.6,1530.2
"1969-06-15",107.733333333333,1531.8
"1969-06-16",107.866666666667,1533.4
"1969-06-17",108,1535
"1969-06-18",108.133333333333,1536.6
"1969-06-19",108.266666666667,1538.2
"1969-06-20",108.4,1539.8
"1969-06-21",108.533333333333,1541.4
"1969-06-22",108.666666666667,1543
"1969-06-23",108.8,1544.6
"1969-06-24",108.933333333333,1546.2
"1969-06-25",109.066666666667,1547.8
"1969-06-26",109.2,1549.4
"1969-06-27",109.333333333333,1551
"1969-06-28",109.466666666667,1552.6
"1969-06-29",109.6,1554.2
"1969-06-30",109.733333333333,1555.8
"1969-07-01",109.866666666667,1557.4
"1969-07-02",110,1559
"1969-07-03",109.866666666667,1561.36666666667
"1969-07-04",109.733333333333,1563.73333333333
"1969-07-05",109.6,1566.1
"1969-07-06",109.466666666667,1568.46666666667
"1969-07-07",109.333333333333,1570.83333333333
"1969-07-08",109.2,1573.2
"1969-07-09",109.066666666667,1575.56666666667
"1969-07-10",108.933333333333,1577.93333333333
"1969-07-11",108.8,1580.3
"1969-07-12",108.666666666667,1582.66666666667
"1969-07-13",108.533333333333,1585.03333333333
"1969-07-14",108.4,1587.4
"1969-07-15",108.266666666667,1589.76666666667
"1969-07-16",108.133333333333,1592.13333333333
"1969-07-17",108,1594.5
"1969-07-18",107.866666666667,1596.86666666667
"1969-07-19",107.733333333333,1599.23333333333
"1969-07-20",107.6,1601.6
"1969-07-21",107.466666666667,1603.96666666667
"1969-07-22",107.333333333333,1606.33333333333
"1969-07-23",107.2,1608.7
"1969-07-24",107.066666666667,1611.06666666667
"1969-07-25",106.933333333333,1613.43333333333
"1969-07-26",106.8,1615.8
"1969-07-27",106.666666666667,1618.16666666667
"1969-07-28",106.533333333333,1620.53333333333
"1969-07-29",106.4,1622.9
"1969-07-30",106.266666666667,1625.26666666667
"1969-07-31",106.133333333333,1627.63333333333
